Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Guatemala,GTM,Population density (people per sq. km of land area),EN.POP.DNST,133.069120940649,135.512458006719,137.942721164614,140.388027248973,142.836095558044,145.27266703994,147.701474430758,150.125214632325,152.547125793206,154.946117954461,157.319270250093,159.665416200075,..
Honduras,HND,Access to electricity (% of population),EG.ELC.ACCS.ZS,81,82.2,83.6,87.2,88.7,90,91.6,86.5,91.6,91.1,93.1,94.1,94.4
Honduras,HND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1636.52385383733,1827.70996762527,1843.7550735143,1805.12398632364,1869.9747875365,1984.10464937445,2001.89679001679,2127.09307936898,2135.61998376748,2198.91045137401,2096.53419960811,2407.05060702826,..
Honduras,HND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,163.53704834,180.58157349,182.42372131,175.01651001,171.30480957,168.92593384,176.97311401,168.39216614,177.64666748,184.03918457,212.6973114,253.91804504,..
Honduras,HND,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,59.364,57.054,56.208,59.123,59.612,60.152,59.063,60.802,62.736,59.578,52.961,55.526,53.492
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,1874.27170372599,2053.95969493403,2107.34542786596,2064.55053629483,2164.42455009318,2257.22528369354,2295.53627000423,2403.30608839303,2457.6860424186,2498.50918635232,2307.13093003215,2738.21626989704,3012.21734086324
Honduras,HND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.5871307044098,25.8142160143128,26.1135718011836,25.4093197152808,24.510778796214,25.6499709386427,25.8278974975697,26.5389223099615,26.5924587973715,26.7243168964313,25.357857215276,25.8201593146773,25.9084247689488
Honduras,HND,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,89.467,87.715,83.379,88.862,86.198,85.718,86.74,83.604,86.308,83.443,..,84.298,76.802
Honduras,HND,"Labor force, total",SL.TLF.TOTL.IN,3260247,3243536,3268694,3613486,3810624,3919626,3983810,4161688,4431793,4399023,4206572,4452659,4564937
Honduras,HND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.088,71.439,71.734,71.963,72.259,72.487,72.588,72.692,72.814,72.881,71.462,70.123,70.728
Honduras,HND,Net migration,SM.POP.NETM,-5418,-5664,-5896,-6094,-6302,-6512,-6685,-6782,-6768,-6550,-6199,-5779,-5374
Honduras,HND,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,74.0395437244252,74.9601231280445,75.870361572386,76.7698451271818,77.6591777188148,78.5378953428312,79.4064779253868,80.2650217429443,81.1136333169873,81.952553182089,82.7820270991409,83.6021801033969,84.3969913717355
Honduras,HND,Population density (people per sq. km of land area),EN.POP.DNST,75.5289391366521,77.0623290731969,78.5804540173385,80.0845205112164,81.5787469836446,83.0682366610064,84.5544552685673,86.038448476182,87.522119939226,89.0055322191438,90.4617302708017,91.861158280454,..
Nicaragua,NIC,Access to electricity (% of population),EG.ELC.ACCS.ZS,80.1,81.2,81.3,81.9,81.9,83.2,83.9,84.6,85.2,85.7,86,86.3,86.5
Nicaragua,NIC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1319.96046969527,1438.65318435535,1510.68287809472,1539.99866408667,1675.73194013894,1774.07898220904,1800.67080755003,1838.88525572961,1717.29591765436,1666.97671682866,1582.25170903244,1694.98665831936,..
Nicaragua,NIC,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,115.32395172,122.53475952,130.77900696,137.09841919,152.6446991,161.27700806,167.37036133,177.15000916,168.44512939,161.98634338,161.19981384,198.07792664,..
Nicaragua,NIC,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,68.09,..,72.947,71.72,62.034,..,..,..,..,..,..,..,..
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1495.72918990272,1644.79935412236,1746.41858428988,1794.77996471527,1913.52134831663,2025.32477597575,2079.45373495517,2127.28572022576,1981.85912037433,1905.64091736446,1877.10855537062,2064.6646185055,2252.31020571776
Nicaragua,NIC,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,21.9687573508971,23.1574673102718,24.5478703027908,25.387343525001,25.0986533853432,25.7348859815879,25.7948467109519,24.8172733417013,24.9951336778689,24.2806944134052,25.482019971941,27.1942926179138,26.1442169309908
Nicaragua,NIC,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,89.965,..,85.64,..,..,..,..,..,..,..,..
Nicaragua,NIC,"Labor force, total",SL.TLF.TOTL.IN,2442683,2512841,2583025,2652874,2722579,2784302,2845599,2907286,2954104,2999937,3024864,3085985,3189118
Nicaragua,NIC,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.009,72.416,72.615,72.704,72.812,72.983,73.256,73.554,73.85,74.054,71.795,73.837,74.615
Nicaragua,NIC,Net migration,SM.POP.NETM,-29081,-28224,-27388,-26589,-25571,-24359,-23081,-21841,-20739,-19733,-10384,-10384,-8000
